user_id,recency_days,frequency,monetary_inr,r_score,f_score,m_score,segment,cluster
402,290,3,269.0,3,4,1,Potential Loyalist,1
403,764,2,218.0,1,2,1,Lost,0
404,463,1,46.0,2,1,1,Lost,0
405,402,1,9750.0,2,1,4,Potential Loyalist,0
406,110,2,21264.0,4,2,4,Loyal,1
408,376,1,0.0,3,1,1,At Risk,0
409,328,1,97.0,3,1,1,At Risk,0
410,348,4,2662.0,3,4,3,Loyal,1
411,127,2,970334.0,4,2,4,Loyal,1
412,779,1,194.0,1,1,1,Lost,0
413,274,1,111.0,3,1,1,At Risk,0
415,873,1,491.0,1,1,2,Lost,0
416,110,2,440.0,4,2,2,Potential Loyalist,1
417,478,1,144.0,2,1,1,Lost,0
419,8,1,116.0,4,1,1,At Risk,1
420,11,3,1689.0,4,4,2,Loyal,1
421,449,1,296.0,2,1,1,Lost,0
422,752,1,213.0,1,1,1,Lost,0
423,222,3,10083.0,3,4,4,Champions,1
424,99,3,343.0,4,4,1,Loyal,1
426,368,2,4273.0,3,2,3,Potential Loyalist,1
427,638,1,204.0,1,1,1,Lost,0
428,589,1,7213.0,2,1,3,At Risk,0
429,256,1,49486.0,3,1,4,Potential Loyalist,1
430,346,1,167.0,3,1,1,At Risk,0
431,855,2,1514.0,1,2,2,At Risk,0
432,789,2,319.0,1,2,1,Lost,0
433,695,1,83.0,1,1,1,Lost,0
434,472,3,14528.0,2,4,4,Loyal,1
435,407,2,3046.0,2,2,3,Potential Loyalist,1
436,948,1,2032.0,1,1,3,At Risk,0
438,640,1,83.0,1,1,1,Lost,0
439,66,1,26894.0,4,1,4,Loyal,1
440,241,3,8773.0,3,4,3,Loyal,1
441,355,1,46.0,3,1,1,At Risk,0
442,47,2,4958.0,4,2,3,Loyal,1
443,558,1,315.0,2,1,1,Lost,0
444,297,1,51.0,3,1,1,At Risk,0
446,68,5,7505.0,4,4,3,Champions,1
447,5,3,78654.0,4,4,4,Champions,1
448,156,3,36218.0,4,4,4,Champions,1
449,772,1,297551.0,1,1,4,At Risk,1
450,289,4,120978.0,3,4,4,Champions,1
452,148,1,120.0,4,1,1,At Risk,0
453,541,2,250.0,2,2,1,At Risk,0
454,575,1,486.0,2,1,2,At Risk,0
455,264,3,3598.0,3,4,3,Loyal,1
456,803,1,1764.0,1,1,2,Lost,0
457,95,2,268.0,4,2,1,Potential Loyalist,1
458,101,4,5913.0,4,4,3,Champions,1
460,569,1,2097.0,2,1,3,At Risk,0
461,855,1,167.0,1,1,1,Lost,0
462,211,2,176.0,3,2,1,At Risk,0
463,555,3,23778.0,2,4,4,Loyal,1
464,390,2,4968.0,2,2,3,Potential Loyalist,1
465,414,1,18648.0,2,1,4,Potential Loyalist,0
466,807,1,199.0,1,1,1,Lost,0
467,129,2,40476.0,4,2,4,Loyal,1
468,93,2,2490.0,4,2,3,Loyal,1
469,199,2,9435.0,3,2,4,Loyal,1
470,822,3,3111.0,1,4,3,Potential Loyalist,1
472,708,1,69.0,1,1,1,Lost,0
473,935,1,5222.0,1,1,3,At Risk,0
474,99,2,1148.0,4,2,2,Potential Loyalist,1
476,712,1,125.0,1,1,1,Lost,0
477,291,2,5963.0,3,2,3,Potential Loyalist,1
478,620,1,134.0,2,1,1,Lost,0
479,422,4,9041.0,2,4,4,Loyal,1
481,437,2,13098.0,2,2,4,Potential Loyalist,1
482,373,2,10023.0,3,2,4,Loyal,1
483,733,1,5912.0,1,1,3,At Risk,0
484,815,1,7722.0,1,1,3,At Risk,0
485,281,1,6889.0,3,1,3,Potential Loyalist,0
486,330,2,301.0,3,2,1,At Risk,0
487,30,3,7102.0,4,4,3,Champions,1
489,157,3,131963.0,4,4,4,Champions,1
491,345,1,111.0,3,1,1,At Risk,0
492,352,1,486.0,3,1,2,At Risk,0
493,481,4,2787.0,2,4,3,Loyal,1
495,494,2,130000.0,2,2,4,Potential Loyalist,1
496,198,2,190.0,3,2,1,At Risk,0
497,388,1,93.0,2,1,1,Lost,0
498,428,1,16282.0,2,1,4,Potential Loyalist,0
500,40,2,227.0,4,2,1,Potential Loyalist,1
501,82,2,3630.0,4,2,3,Loyal,1
502,22,3,19768.0,4,4,4,Champions,1
503,234,3,5510.0,3,4,3,Loyal,1
504,197,3,19139.0,3,4,4,Champions,1
506,719,1,157.0,1,1,1,Lost,0
507,995,1,833.0,1,1,2,Lost,0
508,30,3,12833.0,4,4,4,Champions,1
509,647,1,1296.0,1,1,2,Lost,0
510,493,4,14042.0,2,4,4,Loyal,1
513,747,1,6833.0,1,1,3,At Risk,0
514,369,1,93.0,3,1,1,At Risk,0
515,222,1,903.0,3,1,2,At Risk,0
516,323,3,2523.0,3,4,3,Loyal,1
517,444,1,60583.0,2,1,4,Potential Loyalist,0
518,235,1,162.0,3,1,1,At Risk,0
519,127,1,407.0,4,1,1,At Risk,0
520,400,5,20199.0,2,4,4,Loyal,1
521,516,2,5162.0,2,2,3,Potential Loyalist,1
522,12,2,3736.0,4,2,3,Loyal,1
523,295,1,523.0,3,1,2,At Risk,0
524,757,3,445.0,1,4,2,Potential Loyalist,0
525,150,1,65.0,4,1,1,At Risk,0
526,46,3,3435.0,4,4,3,Champions,1
527,73,4,7144.0,4,4,3,Champions,1
528,25,3,2894.0,4,4,3,Champions,1
529,709,2,115639.0,1,2,4,Potential Loyalist,1
532,521,2,7333.0,2,2,3,Potential Loyalist,1
533,296,3,6209.0,3,4,3,Loyal,1
534,113,3,2065.0,4,4,3,Champions,1
536,884,1,7079.0,1,1,3,At Risk,0
537,86,1,1125.0,4,1,2,Potential Loyalist,0
538,168,2,2889.0,4,2,3,Loyal,1
539,257,3,3653.0,3,4,3,Loyal,1
540,814,1,7356.0,1,1,3,At Risk,0
541,312,2,935.0,3,2,2,Potential Loyalist,0
544,264,1,13468.0,3,1,4,Potential Loyalist,0
545,941,2,21731.0,1,2,4,Potential Loyalist,1
548,600,2,14616.0,2,2,4,Potential Loyalist,1
549,60,1,10000.0,4,1,4,Loyal,1
550,228,3,1171.0,3,4,2,Loyal,1
551,968,1,15486.0,1,1,4,At Risk,0
552,841,2,807532.0,1,2,4,Potential Loyalist,1
553,771,1,111.0,1,1,1,Lost,0
554,677,3,10079.0,1,4,4,Loyal,1
555,501,1,88.0,2,1,1,Lost,0
556,761,1,1278.0,1,1,2,Lost,0
557,417,1,537.0,2,1,2,At Risk,0
560,386,3,4301.0,2,4,3,Loyal,1
562,465,2,357.0,2,2,1,At Risk,0
563,37,4,6759.0,4,4,3,Champions,1
565,172,1,97.0,4,1,1,At Risk,0
566,690,1,1167.0,1,1,2,Lost,0
567,752,1,250.0,1,1,1,Lost,0
568,25,3,3292.0,4,4,3,Champions,1
569,883,2,1467.0,1,2,2,At Risk,0
570,603,1,815.0,2,1,2,At Risk,0
571,450,1,3065.0,2,1,3,At Risk,0
572,95,3,3977.0,4,4,3,Champions,1
573,443,1,296.0,2,1,1,Lost,0
574,256,1,6481.0,3,1,3,Potential Loyalist,0
575,274,1,144.0,3,1,1,At Risk,0
576,148,2,10722.0,4,2,4,Loyal,1
577,192,2,111.0,3,2,1,At Risk,0
580,338,1,97.0,3,1,1,At Risk,0
581,773,2,347.0,1,2,1,Lost,0
582,40,2,14172.0,4,2,4,Loyal,1
583,150,1,17394.0,4,1,4,Loyal,1
585,226,2,10583.0,3,2,4,Loyal,1
586,163,3,40204.0,4,4,4,Champions,1
589,599,3,653.0,2,4,2,Potential Loyalist,1
590,18,3,2657.0,4,4,3,Champions,1
591,375,1,12583.0,3,1,4,Potential Loyalist,0
593,705,2,268.0,1,2,1,Lost,0
594,807,1,407.0,1,1,1,Lost,0
595,355,1,2120.0,3,1,3,Potential Loyalist,0
596,264,3,3412.0,3,4,3,Loyal,1
597,51,2,22805.0,4,2,4,Loyal,1
598,778,1,3778.0,1,1,3,At Risk,0
599,135,1,509.0,4,1,2,Potential Loyalist,0
600,436,2,1320.0,2,2,2,At Risk,0
601,89,2,9796.0,4,2,4,Loyal,1
602,82,3,77759.0,4,4,4,Champions,1
603,446,1,338.0,2,1,1,Lost,0
604,262,1,3843.0,3,1,3,Potential Loyalist,0
605,47,3,6333.0,4,4,3,Champions,1
608,774,1,815.0,1,1,2,Lost,0
609,354,1,23856.0,3,1,4,Potential Loyalist,0
610,164,4,121950.0,4,4,4,Champions,1
611,872,1,542.0,1,1,2,Lost,0
612,848,1,46.0,1,1,1,Lost,0
613,745,1,6389.0,1,1,3,At Risk,0
614,848,1,310.0,1,1,1,Lost,0
615,130,3,2325.0,4,4,3,Champions,1
616,142,3,39598.0,4,4,4,Champions,1
618,404,1,65.0,2,1,1,Lost,0
619,19,1,93.0,4,1,1,At Risk,0
620,590,1,5019.0,2,1,3,At Risk,0
621,88,1,1190.0,4,1,2,Potential Loyalist,0
622,197,3,25505.0,3,4,4,Champions,1
623,305,2,2291.0,3,2,3,Potential Loyalist,1
624,537,1,282.0,2,1,1,Lost,0
625,284,3,9592.0,3,4,4,Champions,1
626,362,3,5250.0,3,4,3,Loyal,1
627,569,1,370.0,2,1,1,Lost,0
629,101,1,120.0,4,1,1,At Risk,0
630,596,3,1852.0,2,4,2,Potential Loyalist,1
631,360,1,5958.0,3,1,3,Potential Loyalist,0
632,486,3,944.0,2,4,2,Potential Loyalist,1
633,571,1,167.0,2,1,1,Lost,0
634,732,2,2116.0,1,2,3,At Risk,0
636,827,2,1421.0,1,2,2,At Risk,0
637,240,2,7148.0,3,2,3,Potential Loyalist,1
639,109,4,31931.0,4,4,4,Champions,1
640,786,2,8852.0,1,2,3,At Risk,1
642,684,1,370.0,1,1,1,Lost,0
643,71,3,3976.0,4,4,3,Champions,1
644,290,3,15518.0,3,4,4,Champions,1
647,470,2,172028.0,2,2,4,Potential Loyalist,1
648,765,1,10356.0,1,1,4,At Risk,0
649,722,2,250.0,1,2,1,Lost,0
651,666,3,10074.0,1,4,4,Loyal,1
652,23,1,30625.0,4,1,4,Loyal,1
653,365,1,315.0,3,1,1,At Risk,0
655,190,4,13454.0,3,4,4,Champions,1
656,323,1,708.0,3,1,2,At Risk,0
657,380,2,13111.0,3,2,4,Loyal,1
659,631,1,185.0,2,1,1,Lost,0
660,431,2,1236.0,2,2,2,At Risk,0
661,473,2,3023.0,2,2,3,Potential Loyalist,0
663,877,1,111.0,1,1,1,Lost,0
664,214,1,1023.0,3,1,2,At Risk,0
665,443,1,2236.0,2,1,3,At Risk,0
667,579,1,569.0,2,1,2,At Risk,0
668,316,2,2713.0,3,2,3,Potential Loyalist,1
670,32,2,11459.0,4,2,4,Loyal,1
671,886,1,2148.0,1,1,3,At Risk,0
674,724,1,144.0,1,1,1,Lost,0
675,338,5,1977.0,3,4,3,Loyal,1
676,58,2,10736.0,4,2,4,Loyal,1
677,211,2,171.0,3,2,1,At Risk,0
678,100,2,26194.0,4,2,4,Loyal,1
680,15,3,4903.0,4,4,3,Champions,1
682,424,2,5143.0,2,2,3,Potential Loyalist,1
683,389,1,218.0,2,1,1,Lost,0
685,935,1,15829.0,1,1,4,At Risk,0
686,58,1,2634.0,4,1,3,Potential Loyalist,1
687,387,1,204.0,2,1,1,Lost,0
688,460,2,20560.0,2,2,4,Potential Loyalist,1
689,222,3,22889.0,3,4,4,Champions,1
692,431,3,658.0,2,4,2,Potential Loyalist,1
693,60,3,3754.0,4,4,3,Champions,1
694,333,4,17676.0,3,4,4,Champions,1
695,683,2,3936.0,1,2,3,At Risk,0
696,635,3,3948.0,1,4,3,Potential Loyalist,1
698,186,2,9130.0,3,2,4,Loyal,1
699,813,1,106.0,1,1,1,Lost,0
700,213,2,417.0,3,2,1,At Risk,0
702,324,2,8546.0,3,2,3,Potential Loyalist,1
703,29,3,1343.0,4,4,2,Loyal,1
704,201,2,3556.0,3,2,3,Potential Loyalist,1
707,382,2,454.0,2,2,2,At Risk,0
708,394,2,606.0,2,2,2,At Risk,0
709,213,1,579.0,3,1,2,At Risk,0
710,214,2,2857.0,3,2,3,Potential Loyalist,1
711,556,2,306.0,2,2,1,At Risk,0
712,226,4,63311.0,3,4,4,Champions,1
713,206,3,1245.0,3,4,2,Loyal,1
714,106,4,1806.0,4,4,2,Loyal,1
715,422,1,79.0,2,1,1,Lost,0
716,837,3,1597.0,1,4,2,Potential Loyalist,1
717,690,1,269.0,1,1,1,Lost,0
718,382,1,162.0,2,1,1,Lost,0
719,417,1,860306.0,2,1,4,Potential Loyalist,1
720,340,3,1045.0,3,4,2,Loyal,1
721,408,2,6643.0,2,2,3,Potential Loyalist,1
722,424,2,21578.0,2,2,4,Potential Loyalist,1
723,173,4,57385.0,4,4,4,Champions,1
724,589,3,44361.0,2,4,4,Loyal,1
725,627,1,74.0,2,1,1,Lost,0
726,570,1,699.0,2,1,2,At Risk,0
